Experiment,SentenceFrame,Condition,FullSentence
4,401,4a,"Quando hai litigato con Maria, eri molto prepotente."
4,401,4b,"Quando Maria ha litigato con te, eri molto prepotente."
4,401,4c,"Quando Maria ha litigato con te, era molto prepotente."
4,401,4d,"Quando hai litigato con Maria, era molto prepotente."
4,402,4a,"Adesso che lavori con Paola, sei sempre puntuale."
4,402,4b,"Adesso che Paola lavora con te, sei sempre puntuale."
4,402,4c,"Adesso che Paola lavora con te, è sempre puntuale."
4,402,4d,"Adesso che lavori con Paola, è sempre puntuale."
4,403,4a,"Da quando collabori con Olga, hai avuto solo guai."
4,403,4b,"Da quando Olga collabora con te, hai avuto solo guai."
4,403,4c,"Da quando Olga collabora con te, ha avuto solo guai."
4,403,4d,"Da quando collabori con Olga, ha avuto solo guai."
4,404,4a,"Prima che tu chiarissi la questione con Bruno, eri impaziente."
4,404,4b,"Prima che Bruno chiarisse la questione con te, eri impaziente."
4,404,4c,"Prima che Bruno chiarisse la questione con te, era impaziente."
4,404,4d,"Prima che tu chiarissi la questione con Bruno, era impaziente."
4,405,4a,"Dopo che hai avuto quel siguido con Nando, ti comporti stranamente."
4,405,4b,"Dopo che Nando ha avuto quel disguido con te, ti comporti stranamente."
4,405,4c,"Dopo che Nando ha avuto quel disguido con te, si comporta stranamente."
4,405,4d,"Dopo che hai avuto quel siguido con Nando, si comporta stranamente."
4,406,4a,"Adesso che sei tornato da Maria, sei molto più felice."
4,406,4b,"Adesso che Maria è tornata da te, sei molto più felice."
4,406,4c,"Adesso che Maria è tornata da te, è molto piu felice."
4,406,4d,"Adesso che sei tornato da Maria, è molto piu felice."
4,407,4a,"L'ultima volta che sei uscito con Guido, hai pagato il conto."
4,407,4b,"L'ultima volta che Guido è uscito con te, hai pagato il conto."
4,407,4c,"L'ultima volta che Guido è uscito con te, ha pagato il conto."
4,407,4d,"L'ultima volta che sei uscito con Guido, ha pagato il conto."
4,408,4a,"Quando eri in classe con Lucia, avevi quindici anni."
4,408,4b,"Quando Lucia era in classe con te, avevi quindici anni."
4,408,4c,"Quando Lucia era in classe con te, aveva quindici anni."
4,408,4d,"Quando eri in classe con Lucia, aveva quindici anni."
4,409,4a,"Quando ti sei messo in contatto con Marta, abitavi ancora a Milano."
4,409,4b,"Quando Marta si è messa in contatto con te, abitavi ancora a Milano."
4,409,4c,"Quando Marta si è messa in contatto con te, abitava ancora a Milano."
4,409,4d,"Quando ti sei messo in contatto con Marta, abitava ancora a Milano."
4,410,4a,"Da quando hai rotto con Mario, sei di cattivo umore."
4,410,4b,"Da quando Mario ha rotto con te, sei di cattivo umore."
4,410,4c,"Da quando Mario ha rotto con te, è di cattivo umore."
4,410,4d,"Da quando hai rotto con Mario, è di cattivo umore."
4,411,4a,"Quando ho accettato di lavorare con Mario, non prevedevo complicazioni."
4,411,4b,"Quando Mario ha accettato di lavorare con me, non prevedevo complicazioni."
4,411,4c,"Quando Mario ha accettato di lavorare con me, non prevedeva complicazioni."
4,411,4d,"Quando ho accettato di lavorare con Mario, non prevedeva complicazioni."
4,412,4a,"Durante l'anno che ho abitato con Marco, ho imparato a cucinare."
4,412,4b,"Durante l'anno che Marco ha abitato con me, ho imparato a cucinare."
4,412,4c,"Durante l'anno che Marco ha abitato con me, ha imparato a cucinare."
4,412,4d,"Durante l'anno che ho abitato con Marco, ha imparato a cucinare."
4,413,4a,"Quando ho avuto bisogno di Maria, sono stato sempre gentile."
4,413,4b,"Quando Maria ha avuto bisogno di me, sono stato sempre gentile."
4,413,4c,"Quando Maria ha avuto bisogno di me, è stata sempre gentile."
4,413,4d,"Quando ho avuto bisogno di Maria, è stata sempre gentile."
4,414,4a,"Ogni volta che ho fatto una scommessa con Pietro, ho sempre perso."
4,414,4b,"Ogni volta che Roberto ha fatto una scommessa con me, ho sempre perso."
4,414,4c,"Ogni volta che Roberto ha fatto una scommessa con me, ha sempre perso."
4,414,4d,"Ogni volta che ho fatto una scommessa con Pietro, ha sempre perso."
4,415,4a,"L'ultima volta che ho cucinato per Franca, ero in vacanza."
4,415,4b,"L'ultima volta che Franca ha cucinato per me, ero in vacanza."
4,415,4c,"L'ultima volta che Franca ha cucinato per me, era in vacanza."
4,415,4d,"L'ultima volta che ho cucinato per Franca, era in vacanza."
4,416,4a,"Dopo che ho divorziato da Lucio, ho cambiato lavoro."
4,416,4b,"Dopo che Lucio ha divorziato da me, ho cambiato lavoro."
4,416,4c,"Dopo che Lucio ha divorziato da me, ha cambiato lavoro."
4,416,4d,"Dopo che ho divorziato da Lucio, ha cambiato lavoro."
4,417,4a,"Quando ho fatto la pace con Mario, avevo già la ragazza."
4,417,4b,"Quando Mario ha fatto la pace con me, avevo già la ragazza."
4,417,4c,"Quando Mario ha fatto la pace con me, aveva già la ragazza."
4,417,4d,"Quando ho fatto la pace con Mario, aveva già la ragazza."
4,418,4a,"Prima che mi separassi da Gianni, avevo già un altro uomo."
4,418,4b,"Prima che Gianni si separasse da me, avevo già un altro uomo."
4,418,4c,"Prima che Gianni si separasse da me, aveva già un'altra donna."
4,418,4d,"Prima che mi separassi da Gianni, aveva già un'altra donna."
4,419,4a,"Dopo che mi sono riconciliato con Ugo, sono più tollerante."
4,419,4b,"Dopo che Ugo si è riconciliato con me, sono più tollerante."
4,419,4c,"Dopo che Ugo si è riconciliato con me, è più tollerante."
4,419,4d,"Dopo che mi sono riconciliato con Ugo, è più tollerante."
4,420,4a,"Quando ho chiesto consiglio a Remo, non sapevo che cosa fare."
4,420,4b,"Quando Remo ha chiesto consiglio a me, non sapevo che cosa fare."
4,420,4c,"Quando Remo ha chiesto consiglio a me, non sapeva che cosa fare."
4,420,4d,"Quando ho chiesto consiglio a Remo, non sapeva che cosa fare."
1,101,1a,"Quando Mario chiama Liliana, è contento."
1,101,1b,"Quando Mario chiama Liliana, è contenta."
1,102,1a,"Dopo che Paola ha telefonato a Piero, è andata al cinema."
1,102,1b,"Dopo che Paola ha telefonato a Piero, è andato al cinema."
1,103,1a,"Prima che Maria sposasse Roberto, era sempre serena."
1,103,1b,"Prima che Maria sposasse Roberto, era sempre sereno."
1,104,1a,"Quando Giuseppe ha insultato Chiara, era ubriaco."
1,104,1b,"Quando Giuseppe ha insultato Chiara, era ubriaca."
1,105,1a,"Prima che Flavio conoscesse Donata, era piuttosto grasso."
1,105,1b,"Prima che Flavio conoscesse Donata, era piuttosto grassa."
1,106,1a,"Dopo che Marina ha salutato Enrico, è salita sul treno."
1,106,1b,"Dopo che Marina ha salutato Enrico, è salito sul treno."
1,107,1a,"Quando Gianni ha salutato Rosa, si è messo a piangere."
1,107,1b,"Quando Gianni ha salutato Rosa, si è messa a piangere."
1,108,1a,"Da quando Francesca frequenta Sandro, è diventata arrogante."
1,108,1b,"Da quando Francesca frequenta Sandro, è diventato arrogante."
1,109,1a,"Adesso che Elena lavora con Carlo, è tranquilla."
1,109,1b,"Adesso che Elena lavora con Carlo, è tranquillo."
1,110,1a,"Quando Silvio è andato in vacanza con Emma, si è annoiato."
1,110,1b,"Quando Silvio è andato in vacanza con Emma, si è annoiata."
1,111,1a,"Dopo che Maria ha litigato con Franco, è diventata intollerabile."
1,111,1b,"Dopo che Maria ha litigato con Franco, è diventato intollerabile."
1,112,1a,"Dopo che Irene ha parlato con Vito, si è sentita sollevata."
1,112,1b,"Dopo che Irene ha parlato con Vito, si è sentito sollevato."
1,113,1a,"Quando Pietro ha dato un bacio ad Angela, sembrava un po' impacciato."
1,113,1b,"Quando Pietro ha dato un bacio ad Angela, sembrava un po' impacciata."
1,114,1a,"Quando Stefano ha licenziato Angela, era molto arrabbiato."
1,114,1b,"Quando Stefano ha licenziato Angela, era molto arrabbiata."
1,115,1a,"Quando Ettore ha presentato Giovanna ai genitori, era nervoso."
1,115,1b,"Quando Ettore ha presentato Giovanna ai genitori, era nervosa."
1,116,1a,"Dopo che Marcello ha pubblicizzato il caso di Livia, è diventato famoso."
1,116,1b,"Dopo che Marcello ha pubblicizzato il caso di Livia, è diventata famosa."
1,117,1a,"Dopo che Claudia ha rivisto Sergio, è diventata nevrotica."
1,117,1b,"Dopo che Claudia ha rivisto Sergio, è diventato nevrotico."
1,118,1a,"Quando Daniele è ritornato da Anna, era molto depresso."
1,118,1b,"Quando Daniele è ritornato da Anna, era molto depressa."
1,119,1a,"Dopo che Adriana ha rotto con Mimmo, è diventata insopportabile."
1,119,1b,"Dopo che Adriana ha rotto con Mimmo, è diventato insopportabile."
1,120,1a,"Mentre Lorenzo salutava Daniela, sembrava molto sereno."
1,120,1b,"Mentre Lorenzo salutava Daniela, sembrava molto serena."
1,121,1a,"Quando Luisa ha raccontato l'incidente ad Antonio, è impallidita."
1,121,1b,"Quando Luisa ha raccontato l'incidente ad Antonio, è impallidito."
1,122,1a,"Prima che Lina si riconciliasse con Davide, era piuttosto seccata."
1,122,1b,"Prima che Lina si riconciliasse con Davide, era piuttosto seccato."
1,123,1a,"Mentre Carlo descriveva il miracolo a Rosa, era estatico."
1,123,1b,"Mentre Carlo descriveva il miracolo a Rosa, era estatica."
1,124,1a,"Prima che Guglielmo uscisse con Teresa, era molto timido."
1,124,1b,"Prima che Guglielmo uscisse con Teresa, era molto timida."
1,125,1a,"Adesso che Roberta lavora con Luigi, sembra più rilassata."
1,125,1b,"Adesso che Roberta lavora con Luigi, sembra più rilassato."
1,126,1a,"Prima che Daniele andasse a vivere con Piera, era molto ansioso."
1,126,1b,"Prima che Daniele andasse a vivere con Piera, era molto ansiosa."
1,127,1a,"Quando Carlotta litiga con Mario, rimane imbronciata per giorni."
1,127,1b,"Quando Carlotta litiga con Mario, rimane imbronciato per giorni."
1,128,1a,"Non appena Pina ha scoperto il segreto di Mario, è diventata sospettosa."
1,128,1b,"Non appena Pina ha scoperto il segreto di Mario, è diventato sospettoso."
1,129,1a,"Dopo che Roberto ha incontrato Irma al bar, è tornato a casa."
1,129,1b,"Dopo che Roberto ha incontrato Irma al bar, è tornata a casa."
1,130,1a,"Mentre Anna raccontava il terribile incidente a Giorgio, si è sentita mancare."
1,130,1b,"Mentre Anna raccontava il terribile incidente a Giorgio, si è sentito mancare."
2,201,2a,"Quando Maria cerca Roberto, diventa ansiosa."
2,201,2b,"Quando Maria cerca Roberto, diventa ansioso."
2,201,2c,"Quando Maria lo cerca, diventa ansioso."
2,201,2d,"Quando i Rossi lo cercano, diventa ansioso."
2,202,2a,"Dopo che Paola ha telefonato a Piero, è andata al bar."
2,202,2b,"Dopo che Paola ha telefonato a Piero, è andato al bar."
2,202,2c,"Dopo che Paola gli ha telefonato, è andato al bar."
2,202,2d,"Dopo che i Neri gli hanno telefonato, è andato al bar."
2,203,2a,"Dopo che Marina ha salutato Enrico, è salita sul treno."
2,203,2b,"Dopo che Marina ha salutato Enrico, è salito sul treno."
2,203,2c,"Dopo che Marina lo ha salutato, è salito sul treno."
2,203,2d,"Dopo che i Giorgi lo hanno salutato, è salito sul treno."
2,204,2a,"Da quando Franca frequenta Sandro, è diventata arrogante."
2,204,2b,"Da quando Franca frequenta Sandro, è diventato arrogante."
2,204,2c,"Da quando Franca lo frequenta, è diventato arrogante."
2,204,2d,"Da quando i Rossi lo frequentano, è diventato arrogante."
2,205,2a,"Dopo che Irene ha parlato con Vito, si è sentita sollevata."
2,205,2b,"Dopo che Irene ha parlato con Vito, si è sentito sollevato."
2,205,2c,"Dopo che Irene gli ha parlato, si è sentito sollevato."
2,205,2d,"Dopo che i Rinaldi gli hanno parlato, si è sentito sollevato."
2,206,2a,"Quando Stefania ha licenziato Angelo, era molto arrabbiata."
2,206,2b,"Quando Stefania ha licenziato Angelo, era molto arrabbiato."
2,206,2c,"Quando Stefania lo ha licenziato, era molto arrabbiato."
2,206,2d,"Quando i Brambilla lo hanno licenziato, era molto arrabbiato."
2,207,2a,"Mentre Luisa raccontava l'incidente a Teo, era pallida in viso."
2,207,2b,"Mentre Luisa raccontava l'incidente a Teo, era pallido in viso."
2,207,2c,"Mentre Luisa gli raccontava l'incidente, era pallido in viso."
2,207,2d,"Mentre i DeVito gli raccontavano l'incidente, era pallido in viso."
2,208,2a,"Quando Katia ha fatto quel regalo a Piero, non era ancora sposata."
2,208,2b,"Quando Katia ha fatto quel regalo a Piero, non era ancora sposato."
2,208,2c,"Quando Katia gli ha fatto quel regalo, non era ancora sposato."
2,208,2d,"Quando i Bonino gli hanno fatto quel regalo, non era ancora sposato."
2,209,2a,"Quando Claudia ha conosciuto Lino, era già famosa."
2,209,2b,"Quando Claudia ha conosciuto Lino, era già famoso."
2,209,2c,"Quando Claudia lo ha conosciuto, era già famoso."
2,209,2d,"Quando i Belli lo hanno conosciuto, era già famoso."
2,210,2a,"Quando Lucia ha rintracciato Marco, è rimasta sorpresa."
2,210,2b,"Quando Lucia ha rintracciato Marco, è rimasto sorpreso."
2,210,2c,"Quando Lucia lo ha rintracciato, è rimasto sorpreso."
2,210,2d,"Quando i Burani lo hanno rintracciato, è rimasto sorpreso."
2,211,2a,"Quella sera che Gianna ha lasciato Marco a casa, era scocciata."
2,211,2b,"Quella sera che Gianna ha lasciato Marco a casa, era scocciato."
2,211,2c,"Quella sera che Gianna lo ha lasciato a casa, era scocciato."
2,211,2d,"Quella sera che i Moro lo hanno lasciato a casa, era scocciato."
2,212,2a,"Da quando Rosa ha mandato via Ennio di casa, è diventata strana."
2,212,2b,"Da quando Rosa ha mandato via Ennio di casa, è diventato strano."
2,212,2c,"Da quando Rosa lo ha mandato via di casa, è diventato strano."
2,212,2d,"Da quando i Rossi lo hanno mandato via di casa, è diventato strano."
2,213,2a,"Quando Piero ha insultato Chiara, era ubriaco."
2,213,2b,"Quando Piero ha insultato Chiara, era ubriaca."
2,213,2c,"Quando Piero l'ha insultata, era ubriaca."
2,213,2d,"Quando i Bianchi l'hanno insultata, era ubriaca."
2,214,2a,"Prima che Flavio conoscesse Donata, era piuttosto grasso."
2,214,2b,"Prima che Flavio conoscesse Donata, era piuttosto grassa."
2,214,2c,"Prima che Flavio la conoscesse, era piuttosto grassa."
2,214,2d,"Prima che i Rossi la conoscessero, era piuttosto grassa."
2,215,2a,"Da quando Gianni ha assunto Rosa come segretaria, è diventato pigro."
2,215,2b,"Da quando Gianni ha assunto Rosa come segretaria, è diventata pigra."
2,215,2c,"Da quando Gianni l'ha assunta come segretaria, è diventata pigra."
2,215,2d,"Da quando i Manzoni l'hanno assunta come segretaria, è diventata pigra."
2,216,2a,"Quando Pietro ha baciato Angela, sembrava un po' impacciato."
2,216,2b,"Quando Pietro ha baciato Angela, sembrava un po' impacciata."
2,216,2c,"Quando Pietro l'ha baciata, sembrava un po' impacciata."
2,216,2d,"Quando i Rossi l'hanno baciata, sembrava un po' impacciata."
2,217,2a,"Il giorno che Ettore ha presentato Giovanna agli amici, era nervoso."
2,217,2b,"Il giorno che Ettore ha presentato Giovanna agli amici, era nervosa."
2,217,2c,"Il giorno che Ettore l'ha presentata agli amici, era nervosa."
2,217,2d,"Il giorno che i Minelli l'hanno presentata agli amici, era nervosa."
2,218,2a,"Quando Lorenzo ha chiamato Daniela, era contento."
2,218,2b,"Quando Lorenzo ha chiamato Daniela, era contenta."
2,218,2c,"Quando Lorenzo l'ha chiamata, era contenta."
2,218,2d,"Quando i Lombardi l'hanno chiamata, era contenta."
2,219,2a,"Quando Ugo ha dato il benvenuto ad Anna, sembrava preoccupato."
2,219,2b,"Quando Ugo ha dato il benvenuto ad Anna, sembrava preoccupata."
2,219,2c,"Quando Ugo le ha dato il benvenuto, sembrava preoccupata."
2,219,2d,"Quando i Volpi le hanno dato il benvenuto, sembrava preoccupata."
2,220,2a,"Mentre Carlo descriveva il miracolo a Rosa, era estatico."
2,220,2b,"Mentre Carlo descriveva il miracolo a Rosa, era estatica."
2,220,2c,"Mentre Carlo le descriveva il miracolo, era estatica."
2,220,2d,"Mentre i Franchi le descrivevano il miracolo, era estatica."
2,221,2a,"Dopo che Nino ha incontrato Irma al bar, è tornato a casa."
2,221,2b,"Dopo che Nino ha incontrato Irma al bar, è tornata a casa."
2,221,2c,"Dopo che Nino l'ha incontrata al bar, è tornata a casa."
2,221,2d,"Dopo che i Dolci l'hanno incontrata al bar, è tornata a casa."
2,222,2a,"Dopo che Antonio ha invitato Lucia, si è ammalato."
2,222,2b,"Dopo che Antonio ha invitato Lucia, si è ammalata."
2,222,2c,"Dopo che Antonio l'ha invitata, si è ammalata."
2,222,2d,"Dopo che i Bonomi l'hanno invitata, si è ammalata."
2,223,2a,"Quando Fulvio ha minacciato Carla, era tutto agitato."
2,223,2b,"Quando Fulvio ha minacciato Carla, era tutta agitata."
2,223,2c,"Quando Fulvio l'ha minacciata, era tutta agitata."
2,223,2d,"Quando i Rizzi l'hanno minacciata, era tutta agitata."
2,224,2a,"Quando Guido ha parlato con Ina, era depresso."
2,224,2b,"Quando Guido ha parlato con Ina, era depressa."
2,224,2c,"Quando Guido le ha parlato, era depressa."
2,224,2d,"Quando i Ricci le hanno parlato, era depressa."
3,301,3a,"Dopo che Piero ha telefonato ai vigili del fuoco, sono venuti immediatamente."
3,301,3b,"Dopo che ho telefonato ai vigili del fuoco, sono venuti immediatamente."
3,302,3a,"Quando Gianni ha salutato i nonni, sembravano veramente tristi."
3,302,3b,"Quando ho salutato i nonni, sembravano veramente tristi."
3,303,3a,"Dopo che Maria ha litigato con i suoceri, non telefonano più."
3,303,3b,"Dopo che ho litigato con i suoceri, non telefonano più."
3,304,3a,"Dopo che Ettore ha ringraziato gli ospiti, se ne sono andati."
3,304,3b,"Dopo che ho ringraziato gli ospiti, se ne sono andati."
3,305,3a,"Quando Daniela è andata ad abitare con i nonni, erano felicissimi."
3,305,3b,"Quando sono andato ad abitare con i nonni, erano felicissimi."
3,306,3a,"Da quando Adriana ha conosciuto quei ragazzi, non la lasciano in pace."
3,306,3b,"Da quando ho conosciuto quei ragazzi, non mi lasciano in pace."
3,307,3a,"Quando Claudia ha contattato le zie dell'America, sono rimaste sorprese."
3,307,3b,"Quando ho contattato le zie dell'America, sono rimaste sorprese."
3,308,3a,"Mentre Carlo descriveva il miracolo ai fedeli, erano in estasi."
3,308,3b,"Mentre descrivevo il miracolo ai fedeli, erano in estasi."
3,309,3a,"Quando Silvia ha portato in vacanza i cugini, si sono annoiati."
3,309,3b,"Quando ho portato in vacanza i cugini, si sono annoiati."
3,310,3a,"Dopo che Stefania ha rimproverato i bambini, hanno chiesto scusa."
3,310,3b,"Dopo che hai rimproverato i bambini, hanno chiesto scusa."
3,311,3a,"Quando Giuseppe ha insultato gli amici, erano ubriachi."
3,311,3b,"Quando hai insultato gli amici, erano ubriachi."
3,312,3a,"Dopo che Marina ha salutato le amiche, sono salite in macchina."
3,312,3b,"Dopo che hai salutato le amiche, sono salite in macchina."
3,313,3a,"Quando Luciano ha premiato i vincitori, hanno ringraziato gli organizzatori."
3,313,3b,"Quando hai premiato i vincitori, hanno ringraziato gli organizzatori."
3,314,3a,"Dopo che Lina ha chiesto scusa ai colleghi, si sono calmati."
3,314,3b,"Dopo che hai chiesto scusa ai colleghi, si sono calmati."
3,315,3a,"Quando Luisa ha accusato i professori, hanno reagito immediatamente."
3,315,3b,"Quando hai accusato i professori, hanno reagito immediatamente."
3,316,3a,"Quando Luigi ha intervistato i candidati, hanno fatto tutti la stessa domanda."
3,316,3b,"Quando hai intervistato i candidati, hanno fatto tutti la stessa domanda."
3,317,3a,"Dopo che Antonio ha mandato a chiamare i testimoni, sono diventati irreperibili."
3,317,3b,"Dopo che hai mandato a chiamare i testimoni, sono diventati irreperibili."
3,318,3a,"Quando Gianni ha annunciato i vincitori, sono saliti sul palcoscenico."
3,318,3b,"Quando hai annunciato i vincitori, sono saliti sul palcoscenico."
